"X","cig_tax","female_leg","liberal","dem_gov","healthspendpc","state","year"
1119,1.62076,38.8,22.067565,1,4.546,"Washington",2002
1120,0.224898,18.7,16.150778,1,5.683,"West Virginia",2002
1121,0.878402,23.5,17.962234,0,5.079,"Wisconsin",2002
1122,0.146823,15.6,11.921312,0,4.726,"Wyoming",2002
1123,0.21097,10,13.918555,0,5.029,"Alabama",2003
1124,1.10885,20,15.423064,0,6.194,"Alaska",2003
1125,1.40218,27.8,18.387369,1,4.041,"Arizona",2003
1126,0.441872,16.3,18.546322,0,4.625,"Arkansas",2003
1127,0.915598,30,25.745309,1,4.499,"California",2003
1128,0.218993,33,20.379642,0,4.592,"Colorado",2003
1129,1.05449,29.4,24.076721,0,6.215,"Connecticut",2003
1130,0.278207,29,49.225477,1,6.196,"Delaware",2003
1131,NA,NA,22.460424,NA,7.639,"District of Columbia",2003
1132,0.424444,24.4,19.178897,0,5.372,"Florida",2003
1133,0.148279,21.6,16.247564,0,4.373,"Georgia",2003
1134,1.13338,27.6,24.261221,0,4.854,"Hawaii",2003
1135,0.335869,25.7,13.989898,0,4.258,"Idaho",2003
1136,1.06912,27.1,23.799233,1,5.058,"Illinois",2003
1137,0.635167,18,16.607465,1,5.028,"Indiana",2003
1138,0.415214,21.3,19.763953,1,5.182,"Iowa",2003
1139,0.803734,27.9,15.423965,1,5.087,"Kansas",2003
1140,0.038273,10.9,15.521656,1,5.089,"Kentucky",2003
1141,0.307262,16,17.407367,0,4.956,"Louisiana",2003
1142,1.04592,26.9,22.575525,1,6.08,"Maine",2003
1143,1.15412,33,23.601313,0,5.389,"Maryland",2003
1144,1.41564,26,30.219907,0,6.556,"Massachusetts",2003
1145,1.39316,23.6,21.846644,1,4.839,"Michigan",2003
1146,0.523552,27.4,21.360179,0,5.609,"Minnesota",2003
1147,0.235395,12.6,16.743166,1,4.738,"Mississippi",2003
1148,0.195441,21.3,17.577844,1,5.203,"Missouri",2003
1149,0.216774,24.7,16.013469,0,4.83,"Montana",2003
1150,0.725409,18.4,13.602695,0,5.236,"Nebraska",2003
1151,0.395308,28.6,21.253995,0,4.452,"Nevada",2003
1152,0.515186,27.6,20.321186,0,5.22,"New Hampshire",2003
1153,1.43532,16.7,23.39909,1,5.693,"New Jersey",2003
1154,0.252489,29.5,22.231784,1,4.457,"New Mexico",2003
